Time,Event,IMSI,CellId,RNTI,TargetCellId
0.03,ConnectionEstablishedUe,9,1,7,NA
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494083,ConnectionEstablishedEnb,9,3,1,NA
1.4344,HandoverStartEnb,9,3,1,7
1.43581,HandoverEndOkEnb,9,7,1,NA
3.072,HandoverStartEnb,9,7,1,3
3.0732,HandoverEndOkEnb,9,3,3,NA
4.1884,HandoverStartEnb,9,3,3,7
4.18981,HandoverEndOkEnb,9,7,5,NA
4.418,HandoverStartEnb,9,7,5,3
4.41912,HandoverEndOkEnb,9,3,4,NA
5.7764,HandoverStartEnb,9,3,4,7
5.77781,HandoverEndOkEnb,9,7,7,NA
6.4404,HandoverStartEnb,9,7,7,3
6.44181,HandoverEndOkEnb,9,3,5,NA
6.6966,HandoverStartEnb,9,3,5,7
6.69801,HandoverEndOkEnb,9,7,9,NA
7.2956,HandoverStartEnb,9,7,9,3
7.29701,HandoverEndOkEnb,9,3,7,NA
7.4168,HandoverStartEnb,9,3,7,4
7.41821,HandoverEndOkEnb,9,4,3,NA
7.6256,HandoverStartEnb,9,4,3,7
7.62701,HandoverEndOkEnb,9,7,10,NA
7.7632,HandoverStartEnb,9,7,10,3
7.76461,HandoverEndOkEnb,9,3,8,NA
10.1968,HandoverStartEnb,9,3,8,7
10.1982,HandoverEndOkEnb,9,7,13,NA
10.6886,HandoverStartEnb,9,7,13,3
10.6905,HandoverEndOkEnb,9,3,9,NA
11.9344,HandoverStartEnb,9,3,9,7
11.9358,HandoverEndOkEnb,9,7,15,NA
13.3104,HandoverStartEnb,9,7,15,4
13.3118,HandoverEndOkEnb,9,4,7,NA
13.45,HandoverStartEnb,9,4,7,7
13.4514,HandoverEndOkEnb,9,7,18,NA
13.6048,HandoverStartEnb,9,7,18,3
13.6062,HandoverEndOkEnb,9,3,13,NA
14.5024,HandoverStartEnb,9,3,13,7
14.5038,HandoverEndOkEnb,9,7,21,NA
15.4708,HandoverStartEnb,9,7,21,3
15.4722,HandoverEndOkEnb,9,3,17,NA
15.7062,HandoverStartEnb,9,3,17,7
15.7076,HandoverEndOkEnb,9,7,22,NA
16.4286,HandoverStartEnb,9,7,22,4
16.43,HandoverEndOkEnb,9,4,9,NA
17.3446,HandoverStartEnb,9,4,9,3
17.346,HandoverEndOkEnb,9,3,18,NA
17.6202,HandoverStartEnb,9,3,18,7
17.6216,HandoverEndOkEnb,9,7,24,NA
19.0302,HandoverStartEnb,9,7,24,4
19.0316,HandoverEndOkEnb,9,4,13,NA
23.0826,HandoverStartEnb,9,4,13,3
23.084,HandoverEndOkEnb,9,3,24,NA
23.7456,HandoverStartEnb,9,3,24,7
23.747,HandoverEndOkEnb,9,7,32,NA
24.7616,HandoverStartEnb,9,7,32,3
24.763,HandoverEndOkEnb,9,3,26,NA
27.3864,HandoverStartEnb,9,3,26,7
27.3878,HandoverEndOkEnb,9,7,37,NA
27.9424,HandoverStartEnb,9,7,37,4
27.9438,HandoverEndOkEnb,9,4,18,NA
28.4094,HandoverStartEnb,9,4,18,7
28.4108,HandoverEndOkEnb,9,7,39,NA
28.8026,HandoverStartEnb,9,7,39,3
28.8037,HandoverEndOkEnb,9,3,30,NA
29.3762,HandoverStartEnb,9,3,30,7
29.3776,HandoverEndOkEnb,9,7,41,NA
29.5684,HandoverStartEnb,9,7,41,3
29.5698,HandoverEndOkEnb,9,3,32,NA
29.8418,HandoverStartEnb,9,3,32,4
29.8432,HandoverEndOkEnb,9,4,19,NA
30.6384,HandoverStartEnb,9,4,19,7
30.6398,HandoverEndOkEnb,9,7,43,NA
31.1136,HandoverStartEnb,9,7,43,3
31.115,HandoverEndOkEnb,9,3,33,NA
32.292,HandoverStartEnb,9,3,33,7
32.2934,HandoverEndOkEnb,9,7,47,NA
33.142,HandoverStartEnb,9,7,47,4
33.1434,HandoverEndOkEnb,9,4,21,NA
36.1186,HandoverStartEnb,9,4,21,7
36.12,HandoverEndOkEnb,9,7,52,NA
36.341,HandoverStartEnb,9,7,52,4
36.3424,HandoverEndOkEnb,9,4,23,NA
38.5368,HandoverStartEnb,9,4,23,3
38.5382,HandoverEndOkEnb,9,3,39,NA
38.793,HandoverStartEnb,9,3,39,4
38.7944,HandoverEndOkEnb,9,4,24,NA
39.7056,HandoverStartEnb,9,4,24,3
39.707,HandoverEndOkEnb,9,3,41,NA
39.9488,HandoverStartEnb,9,3,41,7
39.9502,HandoverEndOkEnb,9,7,56,NA
40.1122,HandoverStartEnb,9,7,56,4
40.1136,HandoverEndOkEnb,9,4,25,NA
42.217,HandoverStartEnb,9,4,25,7
42.2184,HandoverEndOkEnb,9,7,61,NA
42.7528,HandoverStartEnb,9,7,61,4
42.7542,HandoverEndOkEnb,9,4,26,NA
43.1756,HandoverStartEnb,9,4,26,3
43.177,HandoverEndOkEnb,9,3,43,NA
43.9682,HandoverStartEnb,9,3,43,4
43.9696,HandoverEndOkEnb,9,4,27,NA
44.234,HandoverStartEnb,9,4,27,7
44.2354,HandoverEndOkEnb,9,7,64,NA
