Time,Event,IMSI,CellId,RNTI,TargetCellId
0.03,ConnectionEstablishedUe,9,1,7,NA
0.0419286,ConnectionEstablishedEnb,9,1,7,NA
0.0494166,ConnectionEstablishedEnb,9,10,4,NA
2.7794,HandoverStartEnb,9,10,4,5
2.78079,HandoverEndOkEnb,9,5,4,NA
5.4832,HandoverStartEnb,9,5,4,2
5.48461,HandoverEndOkEnb,9,2,4,NA
6.0278,HandoverStartEnb,9,2,4,5
6.029,HandoverEndOkEnb,9,5,6,NA
6.4224,HandoverStartEnb,9,5,6,11
6.42381,HandoverEndOkEnb,9,11,9,NA
6.8176,HandoverStartEnb,9,11,9,10
6.81901,HandoverEndOkEnb,9,10,9,NA
7.2096,HandoverStartEnb,9,10,9,3
7.2108,HandoverEndOkEnb,9,3,9,NA
7.9306,HandoverStartEnb,9,3,9,10
7.9318,HandoverEndOkEnb,9,10,11,NA
9.3952,HandoverStartEnb,9,10,11,5
9.39661,HandoverEndOkEnb,9,5,9,NA
9.9552,HandoverStartEnb,9,5,9,10
9.95632,HandoverEndOkEnb,9,10,14,NA
10.1288,HandoverStartEnb,9,10,14,5
10.13,HandoverEndOkEnb,9,5,10,NA
10.7794,HandoverStartEnb,9,5,10,10
10.7806,HandoverEndOkEnb,9,10,16,NA
11.831,HandoverStartEnb,9,10,16,2
11.8324,HandoverEndOkEnb,9,2,13,NA
12.7886,HandoverStartEnb,9,2,13,5
12.7898,HandoverEndOkEnb,9,5,11,NA
14.4196,HandoverStartEnb,9,5,11,2
14.4208,HandoverEndOkEnb,9,2,14,NA
14.7824,HandoverStartEnb,9,2,14,5
14.7836,HandoverEndOkEnb,9,5,13,NA
18.6006,HandoverStartEnb,9,5,13,11
18.602,HandoverEndOkEnb,9,11,25,NA
18.862,HandoverStartEnb,9,11,25,3
18.8632,HandoverEndOkEnb,9,3,20,NA
20.3874,HandoverStartEnb,9,3,20,5
20.3886,HandoverEndOkEnb,9,5,18,NA
21.4668,HandoverStartEnb,9,5,18,3
21.468,HandoverEndOkEnb,9,3,26,NA
22.0952,HandoverStartEnb,9,3,26,11
22.0964,HandoverEndOkEnb,9,11,29,NA
22.765,HandoverStartEnb,9,11,29,5
22.7662,HandoverEndOkEnb,9,5,20,NA
23.4972,HandoverStartEnb,9,5,20,3
23.4989,HandoverEndOkEnb,9,3,30,NA
23.8528,HandoverStartEnb,9,3,30,5
23.8545,HandoverEndOkEnb,9,5,21,NA
25.1406,HandoverStartEnb,9,5,21,10
25.1418,HandoverEndOkEnb,9,10,31,NA
25.7902,HandoverStartEnb,9,10,31,2
25.7916,HandoverEndOkEnb,9,2,24,NA
26.0502,HandoverStartEnb,9,2,24,10
26.0516,HandoverEndOkEnb,9,10,32,NA
26.6752,HandoverStartEnb,9,10,32,5
26.6766,HandoverEndOkEnb,9,5,25,NA
28.3302,HandoverStartEnb,9,5,25,10
28.3314,HandoverEndOkEnb,9,10,34,NA
29.1014,HandoverStartEnb,9,10,34,2
29.1026,HandoverEndOkEnb,9,2,27,NA
29.9822,HandoverStartEnb,9,2,27,10
29.9836,HandoverEndOkEnb,9,10,37,NA
30.5368,HandoverStartEnb,9,10,37,11
30.5382,HandoverEndOkEnb,9,11,33,NA
30.792,HandoverStartEnb,9,11,33,5
30.7934,HandoverEndOkEnb,9,5,27,NA
31.0678,HandoverStartEnb,9,5,27,10
31.0692,HandoverEndOkEnb,9,10,38,NA
31.5344,HandoverStartEnb,9,10,38,5
31.5356,HandoverEndOkEnb,9,5,28,NA
31.8068,HandoverStartEnb,9,5,28,10
31.8082,HandoverEndOkEnb,9,10,39,NA
32.7856,HandoverStartEnb,9,10,39,5
32.7868,HandoverEndOkEnb,9,5,29,NA
33.3018,HandoverStartEnb,9,5,29,10
33.3032,HandoverEndOkEnb,9,10,41,NA
34.569,HandoverStartEnb,9,10,41,5
34.5702,HandoverEndOkEnb,9,5,32,NA
35.1358,HandoverStartEnb,9,5,32,10
35.1372,HandoverEndOkEnb,9,10,43,NA
38.1482,HandoverStartEnb,9,10,43,5
38.1494,HandoverEndOkEnb,9,5,33,NA
38.3372,HandoverStartEnb,9,5,33,10
38.3386,HandoverEndOkEnb,9,10,47,NA
38.88,HandoverStartEnb,9,10,47,5
38.8812,HandoverEndOkEnb,9,5,35,NA
39.1542,HandoverStartEnb,9,5,35,10
39.1556,HandoverEndOkEnb,9,10,49,NA
41.624,HandoverStartEnb,9,10,49,2
41.6252,HandoverEndOkEnb,9,2,29,NA
42.0374,HandoverStartEnb,9,2,29,5
42.0386,HandoverEndOkEnb,9,5,37,NA
42.6584,HandoverStartEnb,9,5,37,10
42.6596,HandoverEndOkEnb,9,10,57,NA
44.4734,HandoverStartEnb,9,10,57,11
44.4748,HandoverEndOkEnb,9,11,44,NA
44.718,HandoverStartEnb,9,11,44,10
44.7192,HandoverEndOkEnb,9,10,61,NA
47.3806,HandoverStartEnb,9,10,61,2
47.3818,HandoverEndOkEnb,9,2,34,NA
47.8532,HandoverStartEnb,9,2,34,10
47.8544,HandoverEndOkEnb,9,10,66,NA
